review,rating
best,5
sangat puas,5
sangat membantu,5
good,5
yaa lumayan,4
bagussssssss,5
sangat membantu sekali,5
sangat puas dengan pelayanan apk jmo,5
sangant membantu,5
mantap,5
sangat mudah dipahami,5
baik,5
bagus jadi lebih simple dan cepat,5
sangat membantu,5
sangat membantu saya suka,5
membuka aplikasi ini bisa mengubah smartphone menjadi tidak smart lagi.,1
aplikasinya bagus,5
kerennnnn,5
baik,5
sangat bagus dn ngg perlu lagi ke kantor smua udah bisa di aplikasi ini,5
bagus,5
terbaik,5
bagus dan berguna,5
"mau cek kantor cabang yg ada dimana aja letaknya, gps udah aktif tpi sistem diam saja, gagal saya mau klaim JHT online bukan nya mudah malah jdi sulit.",3
bagus sangat membantu.,5
👍👍,5
mantap,5
mantul,5
ok,5
"baru pertama kali, menggunakan aplikasi JMO",5
kenapa tidak mau di-update,5
baguss,5
sangat memudahkan kami selaku mantan karyawan pabrik.,5
sangat mempermudah,5
good,5
praktis,5
sekarang mau ngeklaim bpjs ga usah lama lama ke kantor cabang tinggal lewat apk langsung cair,5
puas,5
sangat sangatt baikk sekaliii,5
Pelayanan Baik & puas tkah,5
mantap,5
sangat bagus,5
aplikasinya bagus sangat membantu,5
trimkasih atas kemudaan dan arahannya,5
"kl ada fitur pengkinian data seharusnya mencakup seluruh wilayah Indonesia jangan setengah setengah, orang mau klaim JHT disuruh pengkinian data tapi domisili tidak ada dalam cangkupan wilayah yang di sediakan aplikasi apakah pengembang aplikasi orang yang bodoh atau bagaimana ini... kalau ga mencakup seluruh wilayah Indonesia ga perlu ada fitur pengkinian data , bodoh...",1
sangat mudah dan membantu,5
aplikasi ini sangat membantu,4
"bagus,,rinciannya jelas membantu mengontrol jht",5
sangat membantu,5
"aplikasi ngaco orang belum pernah klaim JHT, tapi di aplikasi nya bilang udah di klaim akhirnya Uang saldo JHT ketahan di BPJS dan gak bisa diambil",1
bagus,5
Mudah dalam menggunakan aplikasinya dan sangat membantu,5
bagus,5
Sangat memudahkan ga butuh waktu lama. Proses klaim jht melalui aplikasi jmo 5 menit langsung cair..,5
mantap,5
trim app bermanfaat,5
sangat membantu memudahkan urusan,5
good,4
mantap dan mudah dipahami,5
luar biasa,5
mudah dimengerti,5
bagus sangat membantu dan mudah di akses..,5
bagus,5
aplikasi mantap tidak ribet langsung cair,5
good,5
mantap,5
bagus,5
mantap,4
BPJS OKE,5
mantap,5
baik sekali,5
baik,5
luar biasa JMO,5
sangat membantu,5
sangat membantu dalam pelayanan online dan mudah pengaksesannya. terimakasih jmo,5
Cepat klaimnya via JMO,5
"aplikasi pemerintahan ga jelas,mau login selalu gagal di internet,pdhl jaringan aman aja,pakai wifi sama aja",1
aplikasi nya cepat,5
"ok, terima kasih",4
aplikasi berguna dan mempermudah untuk masyarakat,5
jozz,5
baik,5
"apk nya bagus utk kelancaran bpjs ketenagakerjaan kita,simpel dan mudah.tks",5
"Mudah Alhamdulillah, Terima Kasih",5
ok,4
cepat & di permudah,5
bagus banget,5
sangat memuaskan,5
baik. sangat membantu,4
mantap,5
mudah banget,5
data gw asli ada.kenapa mau Klem tidak ditemukan.,1
mantap,5
